Model,Accuracy,Cohen-Kappa,Precision,Recall,Specificity,F1-Score,G-Mean,Jaccard,MCC
NB,0.9937,0.9835,0.9938,0.9937,0.9937,0.9937,0.9925,0.9878,0.9836
RC,0.9942,0.9829,0.9943,0.9942,0.9942,0.9942,0.987,0.9885,0.9821
PT,0.9796,0.9511,0.9804,0.9796,0.9796,0.9793,0.97,0.9625,0.9486
SGDC,0.9883,0.9629,0.9889,0.9883,0.9883,0.9881,0.9812,0.9779,0.9683
LGBM,0.9979,0.9924,0.998,0.9979,0.9979,0.9979,0.9972,0.9959,0.9925
,,,,,,,,,
Model,Accuracy,Cohen-Kappa,Precision,Recall,Specificity,F1-Score,G-Mean,Jaccard,MCC
LSVC,0.9981,0.9945,0.9981,0.9981,0.9981,0.9981,0.9967,0.9962,0.9945
RF,0.9986,0.9954,0.9986,0.9986,0.9986,0.9986,0.9974,0.9972,0.9954
LR,0.9974,0.9923,0.9974,0.9974,0.9974,0.9974,0.9953,0.9948,0.9923
NB,0.9933,0.9825,0.9934,0.9933,0.9933,0.9933,0.9916,0.9866,0.9826
RC,0.9941,0.9814,0.9942,0.9941,0.9941,0.9941,0.9866,0.9884,0.9818
PT,0.9839,0.9592,0.9846,0.9839,0.9839,0.9838,0.978,0.9693,0.9601
SGDC,0.9881,0.9696,0.9887,0.9881,0.9881,0.988,0.9833,0.9771,0.9703
LGBM,0.9986,0.9948,0.9986,0.9986,0.9986,0.9986,0.9978,0.9972,0.9948
,,,,,,,,,
Model,Accuracy,Cohen-Kappa,Precision,Recall,Specificity,F1-Score,G-Mean,Jaccard,MCC
LSVC,0.998,0.9945,0.998,0.998,0.998,0.998,0.9967,0.9961,0.9945
RF,0.9988,0.9959,0.9987,0.9988,0.9988,0.9987,0.9977,0.9975,0.9959
LR,0.9975,0.9928,0.9975,0.9975,0.9975,0.9975,0.9956,0.9951,0.9928
NB,0.9927,0.9813,0.9929,0.9927,0.9927,0.9927,0.9911,0.9858,0.9815
RC,0.9941,0.9816,0.9941,0.9941,0.9941,0.994,0.9869,0.9882,0.9819
PT,0.9853,0.9632,0.986,0.9853,0.9853,0.9851,0.9784,0.9722,0.9644
SGDC,0.9911,0.9772,0.9913,0.9911,0.9911,0.991,0.9871,0.9828,0.9776
LGBM,0.9991,0.997,0.9991,0.9991,0.9991,0.9991,0.9983,0.9982,0.997
,,,,,,,,,
Model,Accuracy,Cohen-Kappa,Precision,Recall,Specificity,F1-Score,G-Mean,Jaccard,MCC
LSVC,0.9981,0.9949,0.9981,0.9981,0.9981,0.9981,0.9969,0.9963,0.9949
RF,0.9989,0.9965,0.9989,0.9989,0.9989,0.9989,0.998,0.9978,0.9965
LR,0.9976,0.9931,0.9976,0.9976,0.9976,0.9976,0.9958,0.9953,0.9931
NB,0.9923,0.9803,0.9925,0.9923,0.9923,0.9923,0.9906,0.985,0.9805
RC,0.9936,0.9807,0.9937,0.9936,0.9936,0.9936,0.9864,0.9874,0.9811
PT,0.987,0.967,0.9872,0.987,0.987,0.9869,0.9827,0.9755,0.9674
SGDC,0.9918,0.9796,0.9919,0.9918,0.9918,0.9918,0.9888,0.9844,0.9798
LGBM,0.9992,0.9974,0.9992,0.9992,0.9992,0.9992,0.9985,0.9984,0.9974
,,,,,,,,,
Model,Accuracy,Cohen-Kappa,Precision,Recall,Specificity,F1-Score,G-Mean,Jaccard,MCC
LSVC,0.9985,0.9958,0.9985,0.9985,0.9985,0.9985,0.9974,0.997,0.9958
RF,0.999,0.9968,0.999,0.999,0.999,0.999,0.9982,0.998,0.9968
LR,0.9981,0.9943,0.9981,0.9981,0.9981,0.9981,0.9965,0.9962,0.9943
NB,0.9927,0.9813,0.9929,0.9927,0.9927,0.9928,0.9911,0.9859,0.9815
RC,0.9941,0.9819,0.9942,0.9941,0.9941,0.9941,0.987,0.9884,0.9822
PT,0.9884,0.9716,0.9885,0.9884,0.9884,0.9883,0.9843,0.978,0.9719
SGDC,0.9928,0.9825,0.9929,0.9928,0.9928,0.9928,0.9899,0.9862,0.9827
LGBM,0.9993,0.9978,0.9993,0.9993,0.9993,0.9993,0.9987,0.9986,0.9978
